Le Basi,,Presente,,,,,,Perfetto,,Gerundio,Imperfetto,,,,,,Passato Remoto,,,,,,Futuro,,,,,,Congiuntivo (Presente),,,,,,Congiuntivo (Imperfetto),,,,,,Condizionale,,,,,,Imperativo,,,,,Values,,,,,
Verbi (inf.),Significato,io,tu,lui/lei,noi,voi,loro,Ausiliario,Participio,Tutto,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,tu,lui/lei,noi,voi,loro,conj.,PR regolare,futuro regolare,part. regolare,Fondamentale,Reverso
abbottonare,to button,abbottono,abbottoni,abbottona,abbottoniamo,abbottonate,abbottonano,avere,abbottonato,abbottonando,abbottonavo,abbottonavi,abbottonava,abbottonavamo,abbottonavate,abbottonavano,abbottonai,abbottonasti,abbottonò,abbottonammo,abbottonaste,abbottonarono,abbottonerò,abbottonerai,abbottonerà,abbottoneremo,abbottonerete,abbottoneranno,abbottoni,abbottoni,abbottoni,abbottoniamo,abbottoniate,abbottonino,abbottonassi,abbottonassi,abbottonasse,abbottonassimo,abbottonaste,abbottonassero,abbottonerei,abbottoneresti,abbottonerebbe,abbottoneremmo,abbottonereste,abbottonerebbero,abbottona,abbottoni,abbottoniamo,abbottonate,abbottonino,are,Y,Y,Y,N,N
abbracciare,to embrace,abbraccio,abbracci,abbraccia,abbracciamo,abbracciate,abbracciano,avere,abbracciato,abbracciando,abbracciavo,abbracciavi,abbracciava,abbracciavamo,abbracciavate,abbracciavano,abbracciai,abbraciasti,abbracciò,abbracciammo,abbracciaste,abbracciarono,abbraccerò,abbraccerai,abbraccerà,abbracceremo,abbraccerete,abbracceranno,abbracci,abbracci,abbracci,abbracciamo,abbracciate,abbraccino,abbracciassi,abbracciassi,abbracciasse,abbracciassimo,abbracciaste,abbracciassero,abbraccerei,abbracceresti,abbraccerebbe,abbracceremmo,abbraccereste,abbraccerebbero,abbraccia,abbracci,abbracciamo,abbracciate,abbraccino,are,Y,Y,Y,Y,605
abbreviare,to abbreviate,abbrevio,abbrevii,abbrevia,abbreviamo,abbreviate,abbreviano,avere,abbreviato,abbreviando,abbreviavo,abbreviavi,abbreviava,abbreviavamo,abbreviavate,abbreviavano,abbreviai,abbreviasti,abbreviò,abbreviammo,abbreviaste,abbreviarono,abbrevierò,abbrevierai,abbrevierà,abbrevieremo,abbrevierete,abbrevieranno,abbrevii,abbrevii,abbrevii,abbreviamo,abbreviate,abbreviino,abbreviassi,abbreviassi,abbreviasse,abbreviassimo,abbreviaste,abbreviassero,abbrevierei,abbrevieresti,abbrevierebbe,abbrevieremmo,abbreviereste,abbrevierebbero,abbrevia,abbrevii,abbreviamo,abbreviate,abbreviino,are,Y,Y,Y,N,1237
abbronzare,"to tan, sunbathe",abbronzo,abbronzi,abbronza,abbronziamo,abbronzate,abbronzano,avere,abbronzato,abbronzando,abbronzavo,abbronzavi,abbronzava,abbronzavamo,abbronzavate,abbronzavano,abbronzai,abbronzasti,abbronzò,abbronzammo,abbronzaste,abbronzarono,abbronzerò,abbronzerai,abbronzerà,abbronzeremo,abbronzerete,abbronzeranno,abbronzi,abbronzi,abbronzi,abbronziamo,abbronziate,abbronzino,abbronzassi,abbronzassi,abbronzasse,abbronzassimo,abbronzaste,abbronzassero,abbronzerei,abbronzeresti,abbronzerebbe,abbronzeremmo,abbronzereste,abbronzerebbero,abbronza,abbronzi,abbronziamo,abbronzate,abbronzino,are,Y,Y,Y,N,N
abilitare,"to enable, allow",abilito,abiliti,abilita,abilitiamo,abilitate,abilitano,avere,abilitato,abilitando,abilitavo,abilitavi,abilitava,abilitavamo,abilitavate,abilitavano,abilitai,abilitasti,abilitò,abilitammo,abilitaste,abilitarono,abiliterò,abiliterai,abiliterà,abiliteremo,abiliterete,abiliteranno,abiliti,abiliti,abiliti,abilitiamo,abilitiate,abilitino,abilitassi,abilitassi,abilitasse,abilitassimo,abilitaste,abilitassero,abiliterei,abiliteresti,abiliterebbe,abiliteremmo,abilitereste,abiliterebbero,abilita,abiliti,abilitiamo,abilitate,abilitino,are,Y,Y,Y,N,725
abitare,to live (2),abito,abiti,abita,abitiamo,abitate,abitano,avere,abitato,abitando,abitavo,abitavi,abitava,abitavamo,abitavate,abitavano,abitai,abitasti,abitò,abitammo,abitaste,abitarono,abiterò,abiterai,abiterà,abiteremo,abiterete,abiteranno,abiti,abiti,abiti,abitiamo,abitiate,abitino,abitassi,abitassi,abitasse,abitassimo,abitaste,abitassero,abiterei,abiteresti,abiterebbe,abiteremmo,abitereste,abiterebbero,abita,abiti,abitiamo,abitate,abitino,are,Y,Y,Y,Y,662
abituare,to accustom,abituo,abitui,abitua,abituiamo,abituate,abituano,avere,abituato,abituando,abituavo,abituavi,abituava,abituavamo,abituavate,abituavano,abituai,abituasti,abituò,abituammo,abituaste,abituarono,abituerò,abituerai,abituerà,abitueremo,abituerete,abitueranno,abitui,abitui,abitui,abituiamo,abituiate,abituino,abituassi,abituassi,abituasse,abituassimo,abituaste,abituassero,abituerei,abitueresti,abituerebbe,abitueremmo,abituereste,abituerebbero,abitua,abitui,abituiamo,abituate,abituino,are,Y,Y,Y,Y,N
abituarsi,to get used to,mi abituo,ti abitui,si abitua,ci abituiamo,vi abituate,si abituano,essere,abituatosi,abituandosi,mi abituavo,ti abituavi,si abituava,ci abituavamo,vi abituavate,si abituavano,mi abituai,ti abituasti,si abituò,ci abituammo,vi abituaste,si abituarono,mi abituerò,ti abituerai,si abituerà,ci abitueremo,vi abituerete,si abitueranno,mi abitui,ti abitui,si abitui,ci abituiamo,vi abituiate,si abituino,mi abituassi,ti abituassi,si abituasse,ci abituassimo,vi abituaste,si abituassero,mi abituerei,ti abitueresti,si abituerebbe,ci abitueremmo,vi abituereste,si abituerebbero,abituati,si abitui,abituiamoci,abituatevi,si abituino,are,Y,Y,Y,N,P
abolire,to abolish,abolisco,abolisci,abolisce,aboliamo,abolite,aboliscono,avere,abolito,abolendo,abolivo,abolivi,aboliva,abolivamo,abolivate,abolivano,abolii,abolisti,abolì,abolimmo,aboliste,abolirono,abolirò,abolirai,abolirà,aboliremo,abolirete,aboliranno,abolisca,abolisca,abolisca,aboliamo,aboliate,aboliscano,abolissi,abolissi,abolisse,abolissimo,aboliste,abolissero,abolirei,aboliresti,abolirebbe,aboliremmo,abolireste,abolirebbero,abolisci,abolisca,aboliamo,abolite,aboliscano,ire 2,Y,Y,Y,N,628
abortire,to abort,abortisco,abortisci,abortisce,abortiamo,abortite,abortiscono,avere,abortito,abortendo,abortivo,abortivi,abortiva,abortivamo,abortivate,abortivano,abortii,abortisti,abortì,abortimmo,abortiste,abortirono,abortirò,abortirai,abortirà,abortiremo,abortirete,abortiranno,abortisca,abortisca,abortisca,abortiamo,abortiate,abortiscano,abortissi,abortissi,abortisse,abortissimo,abortiste,abortissero,abortirei,abortiresti,abortirebbe,abortiremmo,abortireste,abortirebbero,abortisci,abortisca,abortiamo,abortite,abortiscano,ire 2,Y,Y,Y,N,1331
