Le Basi,,Presente,,,,,,Perfetto,,Gerundio,Imperfetto,,,,,,Passato Remoto,,,,,,Futuro,,,,,,Congiuntivo (Presente),,,,,,Congiuntivo (Imperfetto),,,,,,Condizionale,,,,,,Imperativo,,,,,Values,,,,,
Verbi (inf.),Significato,io,tu,lui/lei,noi,voi,loro,Ausiliario,Participio,Tutto,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,io,tu,lui/lei,noi,voi,loro,tu,lui/lei,noi,voi,loro,conj.,PR regolare,futuro regolare,part. regolare,Fondamentale,Reverso
crollare,to collapse,crollo,crolli,crolla,crolliamo,crollate,crollano,avere,crollato,crollando,crollavo,crollavi,crollava,crollavamo,crollavate,crollavano,crollai,crollasti,crollò,crollammo,crollaste,crollarono,crollerò,crollerai,crollerà,crolleremo,crollerete,crolleranno,crolli,crolli,crolli,crolliamo,crolliate,crollino,crollassi,crollassi,crollasse,crollassimo,crollaste,crollassero,crollerei,crolleresti,crollerebbe,crolleremmo,crollereste,crollerebbero,crolla,crolli,crolliamo,crollate,crollino,are,Y,Y,Y,N,762
cucinare,to cook (1),cucino,cucini,cucina,cuciniamo,cucinate,cucinano,avere,cucinato,cucinando,cucinavo,cucinavi,cucinava,cucinavamo,cucinavate,cucinavano,cucinai,cucinasti,cucinò,cucinammo,cucinaste,cucinarono,cucinerò,cucinerai,cucinerà,cucineremo,cucinerete,cucineranno,cucini,cucini,cucini,cuciniamo,cuciniate,cucinino,cucinassi,cucinassi,cucinasse,cucinassimo,cucinaste,cucinassero,cucinerei,cucineresti,cucinerebbe,cucineremmo,cucinereste,cucinerebbero,cucina,cucini,cuciniamo,cucinate,cucinino,are,Y,Y,Y,Y,259
cucire,"to sew, stitch",cucio,cuci,cuce,cuciamo,cucite,cuciono,avere,cucito,cucendo,cucivo,cucivi,cuciva,cucivamo,cucivate,cucivano,cucii,cucisti,cucì,cucimmo,cuciste,cucirono,cucirò,cucirai,cucirà,cuciremo,cucirete,cuciranno,cucia,cucia,cucia,cuciamo,cuciate,cuciano,cucissi,cucissi,cucisse,cucissimo,cuciste,cucissero,cucirei,cuciresti,cucirebbe,cuciremmo,cucireste,cucirebbero,cuci,cucia,cuciamo,cucite,cuciano,ire 1 irr,Y,Y,Y,N,532
cullare,"to lull, cradle",cullo,culli,culla,culliamo,cullate,cullano,avere,cullato,cullando,cullavo,cullavi,cullava,cullavamo,cullavate,cullavano,cullai,cullasti,cullò,cullammo,cullaste,cullarono,cullerò,cullerai,cullerà,culleremo,cullerete,culleranno,culli,culli,culli,culliamo,culliate,cullino,cullassi,cullassi,cullasse,cullassimo,cullaste,cullassero,cullerei,culleresti,cullerebbe,culleremmo,cullereste,cullerebbero,culla,culli,culliamo,cullate,cullino,are,Y,Y,Y,N,N
cuocere,to cook (2),cuocio,cuoci,cuoce,cuociamo,cuocete,cuociono,avere/essere,cotto,cuocendo,cuocevo,cuocevi,cuoceva,cuocevamo,cuocevate,cuocevano,cossi,cuocesti,cosse,cuocemmo,cuoceste,cossero,cuocerò,cuocerai,cuocerà,cuoceremo,cuocerete,cuoceranno,cuocia,cuocia,cuocia,cuociamo,cuociate,cuociano,cuocessi,cuocessi,cuocesse,cuocessimo,cuoceste,cuocessero,cuocerei,cuoceresti,cuocerebbe,cuoceremmo,cuocereste,cuocerebbero,cuoci,cuocia,cuociamo,cuocete,cuociano,ere,N,Y,N,N,410
curare,"to treat, heal",curo,curi,cura,curiamo,curate,curano,avere,curato,curando,curavo,curavi,curava,curavamo,curavate,curavano,curai,curasti,curò,curammo,curaste,curarono,curerò,curerai,curerà,cureremo,curerete,cureranno,curi,curi,curi,curiamo,curiate,curino,curassi,curassi,curasse,curassimo,curaste,curassero,curerei,cureresti,curerebbe,cureremmo,curereste,curerebbero,cura,curi,curiamo,curate,curino,are,Y,Y,Y,Y,305
curarsene,to care,me ne curo,te ne curi,se ne cura,ce ne curiamo,ve ne curate,se ne curano,essere,curatosene,curandosene,me ne curavo,te ne curavi,se ne curava,ce ne curavamo,ve ne curavate,se ne curavano,me ne curai,te ne curasti,se ne curò,ce ne curammo,ve ne curaste,se ne curarono,me ne curerò,te ne curerai,se ne curerà,ce ne cureremo,ve ne curerete,se ne cureranno,me ne curi,te ne curi,se ne curi,ce ne curiamo,ve ne curiate,se ne curino,me ne curassi,te ne curassi,se ne curasse,ce ne curassimo,ve ne curaste,se ne curassero,me ne curerei,te ne cureresti,se ne curerebbe,ce ne cureremmo,ve ne curereste,se ne curerebbero,curatene,se ne curi,curiamocene,curatevene,se ne curino,are,Y,Y,Y,N,P
curiosare,"to browse, snoop",curioso,curiosi,curiosa,curiosiamo,curiosate,curiosano,avere,curiosato,curiosando,curiosavo,curiosavi,curiosava,curiosavamo,curiosavate,curiosavano,curiosai,curiosasti,curiosò,curiosammo,curiosaste,curiosarono,curioserò,curioserai,curioserà,curioseremo,curioserete,curioseranno,curiosi,curiosi,curiosi,curiosiamo,curiosiate,curiosino,curiosassi,curiosassi,curiosasse,curiosassimo,curiosaste,curiosassero,curioserei,curioseresti,curioserebbe,curioseremmo,curiosereste,curioserebbero,curiosa,curiosi,curiosiamo,curiosate,curiosino,are,Y,Y,Y,N,1442
curvare,"to bend, curve",curvo,curvi,curva,curviamo,curvate,curvano,avere,curvato,curvando,curvavo,curvavi,curvava,curvavamo,curvavate,curvavano,curvai,curvasti,curvò,curvammo,curvaste,curvarono,curverò,curverai,curverà,curveremo,curverete,curveranno,curvi,curvi,curvi,curviamo,curviate,curvino,curvassi,curvassi,curvasse,curvassimo,curvaste,curvassero,curverei,curveresti,curverebbe,curveremmo,curvereste,curverebbero,curva,curvi,curviamo,curvate,curvino,are,Y,Y,Y,N,1977
custodire,"to keep, guard",custodisco,custodisci,custodisce,custodiamo,custodite,custodiscono,avere,custodito,custodendo,custodivo,custodivi,custodiva,custodivamo,custodivate,custodivano,custodii,custodisti,custodì,custodimmo,custodiste,custodirono,custodirò,custodirai,custodirà,custodiremo,custodirete,custodiranno,custodisca,custodisca,custodisca,custodiamo,custodiate,custodiscano,custodissi,custodissi,custodisse,custodissimo,custodiste,custodissero,custodirei,custodiresti,custodirebbe,custodiremmo,custodireste,custodirebbero,custodisci,custodisca,custodiamo,custodite,custodiscano,ire 2,Y,Y,Y,N,913
danneggiare,"to damage, harm",danneggio,danneggi,danneggia,danneggiamo,danneggiate,danneggiano,avere,danneggiato,danneggiando,danneggiavo,danneggiavi,danneggiava,danneggiavamo,danneggiavate,danneggiavano,danneggiai,danneggiasti,danneggiò,danneggiammo,danneggiaste,danneggiarono,danneggerò,danneggerai,danneggerà,danneggeremo,danneggerete,danneggeranno,danneggi,danneggi,danneggi,danneggiamo,danneggiate,danneggino,danneggiassi,danneggiassi,danneggiasse,danneggiassimo,danneggiaste,danneggiassero,danneggerei,danneggeresti,danneggerebbe,danneggeremmo,danneggereste,danneggerebbero,danneggia,danneggi,danneggiamo,danneggiate,danneggino,are,Y,Y,Y,N,428
danzare,to dance (2),danzo,danzi,danza,danziamo,danzate,danzano,avere,danzato,danzando,danzavo,danzavi,danzava,danzavamo,danzavate,danzavano,danzai,danzasti,danzò,danzammo,danzaste,danzarono,danzerò,danzerai,danzerà,danzeremo,danzerete,danzeranno,danzi,danzi,danzi,danziamo,danziate,danzino,danzassi,danzassi,danzasse,danzassimo,danzaste,danzassero,danzerei,danzeresti,danzerebbe,danzeremmo,danzereste,danzerebbero,danza,danzi,danziamo,danzate,danzino,are,Y,Y,Y,N,836
dare,to give,do,dai,dà,diamo,date,danno,avere,dato,dando,davo,davi,dava,davamo,davate,davano,diedi,desti,diede,demmo,deste,diedero,darò,darai,darà,daremo,darete,daranno,dia,dia,dia,diamo,diate,diano,dessi,dessi,desse,dessimo,deste,dessero,darei,daresti,darebbe,daremmo,dareste,darebbero,dai,dia,diamo,date,diano,are irr,N,N,Y,Y,18
datare,"to date, be dated",dato,dati,data,datiamo,datate,datano,avere,datato,datando,datavo,datavi,datava,datavamo,datavate,datavano,datai,datasti,datò,datammo,dataste,datarono,daterò,daterai,daterà,dateremo,daterete,dateranno,dati,dati,dati,datiamo,datiate,datino,datassi,datassi,datasse,datassimo,dataste,datassero,daterei,dateresti,daterebbe,dateremmo,datereste,daterebbero,data,dati,datiamo,datate,datino,are,Y,Y,Y,N,1593
debellare,to eradicate,debello,debelli,debella,debelliamo,debellate,debellano,avere,debellato,debellando,debellavo,debellavi,debellava,debellavamo,debellavate,debellavano,debellai,debellasti,debellò,debellammo,debellaste,debellarono,debellerò,debellerai,debellerà,debelleremo,debellerete,debelleranno,debelli,debelli,debelli,debelliamo,debelliate,debellino,debellassi,debellassi,debellasse,debellassimo,debellaste,debellassero,debellerei,debelleresti,debellerebbe,debelleremmo,debellereste,debellerebbero,debella,debelli,debelliamo,debellate,debellino,are,Y,Y,Y,N,1445
decadere,to decay,decado,decadi,decade,decadiamo,decadete,decadono,essere,decaduto,decadendo,decadevo,decadevi,decadeva,decadevamo,decadevate,decadevano,decaddi,decadesti,decadde,decademmo,decadeste,decaddero,decadrò,decadrai,decadrà,decadremo,decadrete,decadranno,decada,decada,decada,decadiamo,decadiate,decadano,decadessi,decadessi,decadesse,decaddessimo,decaddeste,decaddessero,decadrei,decadresti,decadrebbe,decadremmo,decadreste,decadrebbero,decadi,decada,decadiamo,decadete,decadano,ere,N,N,Y,N,1850
decantare,to decant,decanto,decanti,decanta,decantiamo,decantate,decantano,avere,decantato,decantando,decantavo,decantavi,decantava,decantavamo,decantavate,decantavano,decantai,decantasti,decantò,decantammo,decantaste,decantarono,decanterò,decanterai,decanterà,decanteremo,decanterete,decanteranno,decanti,decanti,decanti,decantiamo,decantiate,decantino,decantassi,decantassi,decantasse,decantassimo,decantaste,decantassero,decanterei,decanteresti,decanterebbe,decanteremmo,decantereste,decanterebbero,decanta,decanti,decantiamo,decantate,decantino,are,Y,Y,Y,N,1892
decapitare,to behead,decapito,decapiti,decapita,decapitiamo,decapitate,decapitano,avere,decapitato,decapitando,decapitavo,decapitavi,decapitava,decapitavamo,decapitavate,decapitavano,decapitai,decapitasti,decapitò,decapitammo,decapitaste,decapitarono,decapiterò,decapiterai,decapiterà,decapiteremo,decapiterete,decapiteranno,decapiti,decapiti,decapiti,decapitiamo,decapitiate,decapitino,decapitassi,decapitassi,decapitasse,decapitassimo,decapitaste,decapitassero,decapiterei,decapiteresti,decapiterebbe,decapiteremmo,decapitereste,decapiterebbero,decapita,decapiti,decapitiamo,decapitate,decapitino,are,Y,Y,Y,N,1761
decidere,to decide,decido,decidi,decide,decidiamo,decidete,decidono,avere,deciso,decidendo,decidevo,decidevi,decideva,decidevamo,decidevate,decidevano,decisi,decidesti,decide,decidemmo,decideste,decisero,deciderò,deciderai,deciderà,decideremo,deciderete,decideranno,decida,decida,decida,decidiamo,decidiate,decidano,decidessi,decidessi,decidesse,decidessimo,decideste,decidessero,deciderei,decideresti,deciderebbe,decideremmo,decidereste,deciderebbero,decidi,decida,decidiamo,decidete,decidano,ere,N,Y,N,Y,104
decifrare,to decipher,decifro,decifri,decifra,decifriamo,decifrate,decifrano,avere,decifrato,decifrando,decifravo,decifravi,decifrava,decifravamo,decifravate,decifravano,decifrai,decifrasti,decifrò,deciframmo,decifraste,decifrarono,decifrerò,decifrerai,decifrerà,decifreremo,decifrerete,decifreranno,decifri,decifri,decifri,decifriamo,decifriate,decifrino,decifrassi,decifrassi,decifrasse,decifrassimo,decifraste,decifrassero,decifrerei,decifreresti,decifrerebbe,decifreremmo,decifrereste,decifrerebbero,decifra,decifri,decifriamo,decifrate,decifrino,are,Y,Y,Y,N,783
declinare,"to decline, refuse",declino,declini,declina,decliniamo,declinate,declinano,avere,declinato,declinando,declinavo,declinavi,declinava,declinavamo,declinavate,declinavano,declinai,declinasti,declinò,declinammo,declinaste,declinarono,declinerò,declinerai,declinerà,declineremo,declinerete,declineranno,declini,declini,declini,decliniamo,decliniate,declinino,declinassi,declinassi,declinasse,declinassimo,declinaste,declinassero,declinerei,declineresti,declinerebbe,declineremmo,declinereste,declinerebbero,declina,declini,decliniamo,declinate,declinino,are,Y,Y,Y,N,1535
decodificare,"to decode, reverse engineer",decodifico,decodifichi,decodifica,decodifichiamo,decodificate,decodificano,avere,decodificato,decodificando,decodificavo,decodificavi,decodificava,decodificavamo,decodificavate,decodificavano,decodificai,decodificasti,decodificò,decodificammo,decodificaste,decodificarono,decodificherò,decodificherai,decodificherà,decodificheremo,decodificherete,decodificheranno,decodifichi,decodifichi,decodifichi,decodifichiamo,decodifichiate,decodifichino,decodificassi,decodificassi,decodificasse,decodificassimo,decodificaste,decodificassero,decodificherei,decodificheresti,decodificherebbe,decodificheremmo,decodifichereste,decodificherebbero,decodifica,decodifichi,decodifichiamo,decodificate,decodifichino,are,Y,Y,Y,N,1351
decollare,"to take off, launch",decollo,decolli,decolla,decolliamo,decollate,decollano,avere,decollato,decollando,decollavo,decollavi,decollava,decollavamo,decollavate,decollavano,decollai,decollasti,decollò,decollammo,decollaste,decollarono,decollerò,decollerai,decollerà,decolleremo,decollerete,decolleranno,decolli,decolli,decolli,decolliamo,decolliate,decollino,decollassi,decollassi,decollasse,decollassimo,decollaste,decollassero,decollerei,decolleresti,decollerebbe,decolleremmo,decollereste,decollerebbero,decolla,decolli,decolliamo,decollate,decollino,are,Y,Y,Y,N,1035
decomprimere,"to unzip, decompress",decomprimo,decomprimi,decomprime,decomprimiamo,decomprimete,decomprimono,avere,decompresso,decomprimendo,decomprimevo,decomprimevi,decomprimeva,decomprimevamo,decomprimevate,decomprimevano,decompressi,decomprimesti,decompresse,decomprimemmo,decomprimeste,decompressero,decomprimerò,decomprimerai,decomprimerà,decomprimeremo,decomprimerete,decomprimeranno,decomprima,decomprima,decomprima,decomprimiamo,decomprimiate,decomprimano,decomprimessi,decomprimessi,decomprimesse,decomprimessimo,decomprimeste,decomprimessero,decomprimerei,decomprimeresti,decomprimerebbe,decomprimeremmo,decomprimereste,decomprimerebbero,decomprimi,decomprima,decomprimiamo,decomprimete,decomprimano,ere,N,Y,N,N,1529
decorare,to decorate,decoro,decori,decora,decoriamo,decorate,decorano,avere,decorato,decorando,decoravo,decoravi,decorava,decoravamo,decoravate,decoravano,decorai,decorasti,decorò,decorammo,decoraste,decorarono,decorerò,decorerai,decorerà,decoreremo,decorerete,decoreranno,decori,decori,decori,decoriamo,decoriate,decorino,decorassi,decorassi,decorasse,decorassimo,decoraste,decorassero,decorerei,decoreresti,decorerebbe,decoreremmo,decorereste,decorerebbero,decora,decori,decoriamo,decorate,decorino,are,Y,Y,Y,N,610
decorrere,"to commence, begin from",decorro,decorri,decorre,decorriamo,decorrete,decorrono,essere,decorso,decorrendo,decorrevo,decorrevi,decorreva,decorrevamo,decorrevate,decorrevano,decorsi,decorresti,decorse,decorremmo,decorreste,decorsero,decorrerò,decorrerai,decorrerà,decorreremo,decorrerete,decorreranno,decorra,decorra,decorra,decorriamo,decorriate,decorrano,decorressi,decorressi,decorresse,decorressimo,decorreste,decorressero,decorrerei,decorreresti,decorrerebbe,decorreremmo,decorrereste,decorrerebbero,decorri,decorra,decorriamo,decorrete,decorrano,ere,N,Y,N,N,921
decrescere,to decrease (2),decresco,decresci,decresce,decresciamo,decrescete,decrescono,avere/essere,decresciuto,decrescendo,decrescevo,decrescevi,decresceva,decrescevamo,decrescevate,decrescevano,decrebbi,decrescesti,decrebbe,decrescemmo,decresceste,decrebbero,acdecrescerò,decrescerai,decrescerà,decresceremo,decrescerete,decresceranno,decresca,decresca,decresca,decresciamo,decresciate,decrescano,decrescessi,decrescessi,decrescesse,decrescessimo,decresceste,decrescessero,decrescerei,decresceresti,decrescerebbe,decresceremmo,decrescereste,decrescerebbero,decresci,decresca,decresciamo,decrescete,decrescano,ere,N,Y,N,N,N
dedicare,to dedicate,dedico,dedichi,dedica,dedichiamo,dedicate,dedicano,avere,dedicato,dedicando,dedicavo,dedicavi,dedicava,dedicavamo,dedicavate,dedicavano,dedicai,dedicasti,dedicò,dedicammo,dedicaste,dedicarono,dedicherò,dedicherai,dedicherà,dedicheremo,dedicherete,dedicheranno,dedichi,dedichi,dedichi,dedichiamo,dedichiate,dedichino,dedicassi,dedicassi,dedicasse,dedicassimo,dedicaste,dedicassero,dedicherei,dedicheresti,dedicherebbe,dedicheremmo,dedichereste,dedicherebbero,dedica,dedichi,dedichiamo,dedicate,dedichino,are,Y,Y,Y,Y,579
dedurre,"to deduce, deduct",deduco,deduci,deduce,deduciamo,deducete,deducono,avere,dedotto,deducendo,deducevo,deducevi,deduceva,deducevamo,deducevate,deducevano,dedussi,deducesti,dedusse,deducemmo,deduceste,dedussero,dedurrò,dedurrai,dedurrà,dedurremo,dedurrete,dedurranno,deduca,deduca,deduca,deduciamo,deduciate,deducano,deducessi,deducessi,deducesse,deducessimo,deduceste,deducessero,dedurrei,dedurresti,dedurrebbe,dedurremmo,dedurreste,dedurrebbero,deduci,deduca,deduciamo,deducete,deducano,ere,N,N,N,N,876
defecare,to defecate,defeco,defechi,defeca,defechiamo,defecate,defecano,avere,defecato,defecando,defecavo,defecavi,defecava,defecavamo,defecavate,defecavano,defecai,defecasti,defecò,defecammo,defecaste,defecarono,defecherò,defecherai,defecherà,defecheremo,defecherete,defecheranno,defechi,defechi,defechi,defechiamo,defechiate,defechino,defecassi,defecassi,defecasse,defecassimo,defecaste,defecassero,defecherei,defecheresti,defecherebbe,defecheremmo,defechereste,defecherebbero,defeca,defechi,defechiamo,defecate,defechino,are,Y,Y,Y,N,1995
deferire,"to refer, defer",deferisco,deferisci,deferisce,deferiamo,deferite,deferiscono,avere,deferito,deferendo,deferivo,deferivi,deferiva,deferivamo,deferivate,deferivano,deferii,deferisti,deferì,deferimmo,deferiste,deferirono,deferirò,deferirai,deferirà,deferiremo,deferirete,deferiranno,deferisca,deferisca,deferisca,deferiamo,deferiate,deferiscano,deferissi,deferissi,deferisse,deferissimo,deferiste,deferissero,deferirei,deferiresti,deferirebbe,deferiremmo,deferireste,deferirebbero,deferisci,deferisca,deferiamo,deferite,deferiscano,ire 2,Y,Y,Y,N,1558
definire,to define,definisco,definisci,definisce,definiamo,definite,definiscono,avere,definito,definendo,definivo,definivi,definiva,definivamo,definivate,definivano,definii,definisti,definì,definimmo,definiste,definirono,definirò,definirai,definirà,definiremo,definirete,definiranno,definisca,definisca,definisca,definiamo,definiate,definiscano,definissi,definissi,definisse,definissimo,definiste,definissero,definirei,definiresti,definirebbe,definiremmo,definireste,definirebbero,definisci,definisca,definiamo,definite,definiscano,ire 2,Y,Y,Y,Y,127
deflettere,to deflect,defletto,defletti,deflette,deflettiamo,deflettete,deflettono,avere,deflesso,deflettendo,deflettevo,deflettevi,defletteva,deflettevamo,deflettevate,deflettevano,deflessi,deflettesti,deflesse,deflettemmo,defletteste,deflessero,defletterò,defletterai,defletterà,defletteremo,defletterete,defletteranno,defletta,defletta,defletta,deflettiamo,deflettiate,deflettano,deflettessi,deflettessi,deflettesse,deflettessimo,defletteste,deflettessero,defletterei,defletteresti,defletterebbe,defletteremmo,deflettereste,defletterebbero,defletti,defletta,deflettiamo,deflettete,deflettano,ere,N,Y,N,N,N
deformare,to deform,deformo,deformi,deforma,deformiamo,deformate,deformano,avere,deformato,deformando,deformavo,deformavi,deformava,deformavamo,deformavate,deformavano,deformai,deformasti,deformò,deformammo,deformaste,deformarono,deformerò,deformerai,deformerà,deformeremo,deformerete,deformeranno,deformi,deformi,deformi,deformiamo,deformiate,deformino,deformassi,deformassi,deformasse,deformassimo,deformaste,deformassero,deformerei,deformeresti,deformerebbe,deformeremmo,deformereste,deformerebbero,deforma,deformi,deformiamo,deformate,deformino,are,Y,Y,Y,N,1978
degenerare,to degenerate,degenero,degeneri,degenera,degeneriamo,degenerate,degenerano,avere,degenerato,degenerando,degeneravo,degeneravi,degenerava,degeneravamo,degeneravate,degeneravano,degenerai,degenerasti,degenerò,degenerammo,degeneraste,degenerarono,degenererò,degenererai,degenererà,degenereremo,degenererete,degenereranno,degeneri,degeneri,degeneri,degeneriamo,degeneriate,degenerino,degenerassi,degenerassi,degenerasse,degenerassimo,degeneraste,degenerassero,degenererei,degenereresti,degenererebbe,degenereremmo,degenerereste,degenererebbero,degenera,degeneri,degeneriamo,degenerate,degenerino,are,Y,Y,Y,N,1790
deglutire,to swallow (2),deglutisco,deglutisci,deglutisce,deglutiamo,deglutite,deglutiscono,avere,deglutito,deglutendo,deglutivo,deglutivi,deglutiva,deglutivamo,deglutivate,deglutivano,deglutii,deglutisti,deglutì,deglutimmo,deglutiste,deglutirono,deglutirò,deglutirai,deglutirà,deglutiremo,deglutirete,deglutiranno,deglutisca,deglutisca,deglutisca,deglutiamo,deglutiate,deglutiscano,deglutissi,deglutissi,deglutisse,deglutissimo,deglutiste,deglutissero,deglutirei,deglutiresti,deglutirebbe,deglutiremmo,deglutireste,deglutirebbero,deglutisci,deglutisca,deglutiamo,deglutite,deglutiscano,ire 2,Y,Y,Y,N,1293
degradare,to degrade,degrado,degradi,degrada,degradiamo,degradate,degradano,avere,degradato,degradando,degradavo,degradavi,degradava,degradavamo,degradavate,degradavano,degradai,degradasti,degradò,degradammo,degradaste,degradarono,degraderò,degraderai,degraderà,degraderemo,degraderete,degraderanno,degradi,degradi,degradi,degradiamo,degradiate,degradino,degradassi,degradassi,degradasse,degradassimo,degradaste,degradassero,degraderei,degraderesti,degraderebbe,degraderemmo,degradereste,degraderebbero,degrada,degradi,degradiamo,degradate,degradino,are,Y,Y,Y,N,1694
degustare,"to taste, enjoy",degusto,degusti,degusta,degustiamo,degustate,degustano,avere,degustato,degustando,degustavo,degustavi,degustava,degustavamo,degustavate,degustavano,degustai,degustasti,degustò,degustammo,degustaste,degustarono,degusterò,degusterai,degusterà,degusteremo,degusterete,degusteranno,degusti,degusti,degusti,degustiamo,degustiate,degustino,degustassi,degustassi,degustasse,degustassimo,degustaste,degustassero,degusterei,degusteresti,degusterebbe,degusteremmo,degustereste,degusterebbero,degusta,degusti,degustiamo,degustate,degustino,are,Y,Y,Y,N,645
delegare,to delegate,delego,deleghi,delega,deleghiamo,delegate,delegano,avere,delegato,delegando,delegavo,delegavi,delegava,delegavamo,delegavate,delegavano,delegai,delegasti,delegò,delegammo,delegaste,delegarono,delegherò,delegherai,delegherà,delegheremo,delegherete,delegheranno,deleghi,deleghi,deleghi,deleghiamo,deleghiate,deleghino,delegassi,delegassi,delegasse,delegassimo,delegaste,delegassero,delegherei,delegheresti,delegherebbe,delegheremmo,deleghereste,delegherebbero,delega,deleghi,deleghiamo,delegate,deleghino,are,Y,Y,Y,N,814
deliberare,to deliberate,delibero,deliberi,delibera,deliberiamo,deliberate,deliberano,avere,deliberato,deliberando,deliberavo,deliberavi,deliberava,deliberavamo,deliberavate,deliberavano,deliberai,deliberasti,deliberò,deliberammo,deliberaste,deliberarono,delibererò,delibererai,delibererà,delibereremo,delibererete,delibereranno,deliberi,deliberi,deliberi,deliberiamo,deliberiate,deliberino,deliberassi,deliberassi,deliberasse,deliberassimo,deliberaste,deliberassero,delibererei,delibereresti,delibererebbe,delibereremmo,deliberereste,delibererebbero,delibera,deliberi,deliberiamo,deliberate,deliberino,are,Y,Y,Y,N,1261
delimitare,"to delimit, define",delimito,delimiti,delimita,delimitiamo,delimitate,delimitano,avere,delimitato,delimitando,delimitavo,delimitavi,delimitava,delimitavamo,delimitavate,delimitavano,delimitai,delimitasti,delimitò,delimitammo,delimitaste,delimitarono,delimiterò,delimiterai,delimiterà,delimiteremo,delimiterete,delimiteranno,delimiti,delimiti,delimiti,delimitiamo,delimitiate,delimitino,delimitassi,delimitassi,delimitasse,delimitassimo,delimitaste,delimitassero,delimiterei,delimiteresti,delimiterebbe,delimiteremmo,delimitereste,delimiterebbero,delimita,delimiti,delimitiamo,delimitate,delimitino,are,Y,Y,Y,N,1690
delineare,"to outline, delineate",delineo,delinei,delinea,delineiamo,delineate,delineano,avere,delineato,delineando,delineavo,delineavi,delineava,delineavamo,delineavate,delineavano,delineai,delineasti,delineò,delineammo,delineaste,delinearono,delineerò,delineerai,delineerà,delineeremo,delineerete,delineeranno,delinei,delinei,delinei,delineiamo,delineiate,delineino,delineassi,delineassi,delineasse,delineassimo,delineaste,delineassero,delineerei,delineeresti,delineerebbe,delineeremmo,delineereste,delineerebbero,delinea,delinei,delineiamo,delineate,delineino,are,Y,Y,Y,N,1010
delirare,to rave,deliro,deliri,delira,deliriamo,delirate,delirano,avere,delirato,delirando,deliravo,deliravi,delirava,deliravamo,deliravate,deliravano,delirai,delirasti,delirò,delirammo,deliraste,delirarono,delirerò,delirerai,delirerà,delireremo,delirerete,delireranno,deliri,deliri,deliri,deliriamo,deliriate,delirino,delirassi,delirassi,delirasse,delirassimo,deliraste,delirassero,delirerei,delireresti,delirerebbe,delireremmo,delirereste,delirerebbero,delira,deliri,deliriamo,delirate,delirino,are,Y,Y,Y,N,N
deliziare,"to delight, enjoy",delizio,delizi,delizia,deliziamo,deliziate,deliziano,avere,deliziato,deliziando,deliziavo,deliziavi,deliziava,deliziavamo,deliziavate,deliziavano,deliziai,deliziasti,deliziò,deliziammo,deliziaste,deliziarono,delizierò,delizierai,delizierà,delizieremo,delizierete,delizieranno,delizi,delizi,delizi,deliziamo,deliziate,delizino,deliziassi,deliziassi,deliziasse,deliziassimo,deliziaste,deliziassero,delizierei,delizieresti,delizierebbe,delizieremmo,deliziereste,delizierebbero,delizia,delizi,deliziamo,deliziate,delizino,are,Y,Y,Y,N,1549
deludere,to disappoint,deludo,deludi,delude,deludiamo,deludete,deludono,avere,deluso,deludendo,deludevo,deludevi,deludeva,deludevamo,deludevate,deludevano,delusi,deludesti,deluse,deludemmo,deludeste,delusero,deluderò,deluderai,deluderà,deluderemo,deluderete,deluderanno,deulda,deluda,deluda,deludiamo,deludiate,deludano,deludessi,deludessi,deludesse,deludessimo,deludeste,deludessero,deluderei,deluderesti,deluderebbe,deluderemmo,deludereste,deluderebbero,deludi,deluda,deludiamo,deludete,deludano,ere,N,Y,N,N,1041
democratizzare,to democratize,democratizzo,democratizzi,democratizza,democratizziamo,democratizzate,democratizzano,avere,democratizzato,democratizzando,democratizzavo,democratizzavi,democratizzava,democratizzavamo,democratizzavate,democratizzavano,democratizzai,democratizzasti,democratizzò,democratizzammo,democratizzaste,democratizzarono,democratizzerò,democratizzerai,democratizzerà,democratizzeremo,democratizzerete,democratizzeranno,democratizzi,democratizzi,democratizzi,democratizziamo,democratizziate,democratizzino,democratizzassi,democratizzassi,democratizzasse,democratizzassimo,democratizzaste,democratizzassero,democratizzerei,democratizzeresti,democratizzerebbe,democratizzeremmo,democratizzereste,democratizzerebbero,democratizza,democratizzi,democratizziamo,democratizzate,democratizzino,are,Y,Y,Y,N,1996
demolire,to demolish,demolisco,demolisci,demolisce,demoliamo,demolite,demoliscono,avere,demolito,demolendo,demolivo,demolivi,demoliva,demolivamo,demolivate,demolivano,demolii,demolisti,demolì,demolimmo,demoliste,demolirono,demolirò,demolirai,demolirà,demoliremo,demolirete,demoliranno,demolisca,demolisca,demolisca,demoliamo,demoliate,demoliscano,demolissi,demolissi,demolisse,demolissimo,demoliste,demolissero,demolirei,demoliresti,demolirebbe,demoliremmo,demolireste,demolirebbero,demolisci,demolisca,demoliamo,demolite,demoliscano,ire 2,Y,Y,Y,N,1157
